Thickness,Time,Outer_Temperature,Temp_Diff,dT_dt,Fourier_Number,Insulation_Efficiency
0.06,2751.87969924812,21.2095763198014,1.2095763198014,8.21109630445173e-06,0.169869117237538,0.0496041456977691
0.06,2759.3984962406,21.2100485439719,1.2100485439719,6.28058146766534e-05,0.170333240508679,0.0495847875681534
0.06,2766.91729323308,21.2109723256253,1.2109723256253,0.0001228629599019,0.17079736377982,0.049546962164489
0.06,2774.43609022556,21.2123033572803,1.2123033572803,0.0001770272101153,0.17126148705096,0.0494925627646572
0.06,2781.95488721805,21.213823869625,1.213823869625,0.0002022281418445,0.171725610322102,0.0494305652586454
0.06,2789.47368421053,21.2156937234381,1.2156937234381,0.0002486905571425,0.172189733593243,0.0493545362974435
0.06,2796.99248120301,21.2179163512787,1.2179163512787,0.0002956095027996,0.172653856864383,0.0492644670851209
0.06,2804.51127819549,21.2204951857057,1.2204951857057,0.0003429849787913,0.173117980135524,0.0491603741683811
0.06,2812.03007518797,21.2233304417262,1.2233304417262,0.0003770890507265,0.173582103406665,0.0490464374575164
0.06,2819.54887218045,21.2263461580262,1.2263461580262,0.0004010902678998,0.174046226677806,0.0489258270247039
0.06,2827.06766917293,21.2295593257391,1.2295593257391,0.0004273513058157,0.174510349948946,0.0487979707395846
0.06,2834.58646616541,21.2329290048885,1.2329290048885,0.0004481673268703,0.174974473220087,0.0486646025538397
0.06,2842.10526315789,21.2364190241284,1.2364190241284,0.0004641725589064,0.175438596491228,0.0485272377965038
0.06,2849.62406015038,21.2400243049134,1.2400243049134,0.0004795023444047,0.175902719762369,0.0483861483700436
0.06,2857.14285714286,21.2432990371298,1.2432990371298,0.0004355393847808,0.17636684303351,0.0482587038260017
0.06,2864.66165413534,21.2458941428573,1.2458941428573,0.0003451490617576,0.176830966304651,0.0481581845006492
0.06,2872.18045112782,21.2481421300658,1.2481421300658,0.0002989822987308,0.177295089575791,0.048071448398939
0.06,2879.6992481203,21.250462245663,1.250462245663,0.0003085753744276,0.177759212846932,0.047982256328089
0.06,2887.21804511278,21.2533428030849,1.2533428030849,0.0003831141371127,0.178223336118073,0.0478719787214796
0.06,2894.73684210526,21.2565499544865,1.2565499544865,0.0004265511364124,0.178687459389214,0.0477497928242094
0.06,2902.25563909774,21.2596908406221,1.2596908406221,0.0004177378560349,0.179151582660354,0.0476307345144853
0.06,2909.77443609023,21.2622548365574,1.2622548365574,0.0003410114593946,0.179615705931496,0.0475339830454843
0.06,2917.29323308271,21.2642286434527,1.2642286434527,0.000262516317075,0.180079829202636,0.0474597694892719
0.06,2924.81203007519,21.2654010896607,1.2654010896607,0.0001559353456638,0.180543952473777,0.0474157960588514
0.06,2932.33082706767,21.2660685244091,1.2660685244091,8.87688215373214e-05,0.181008075744918,0.047390799821047
0.06,2939.84962406015,21.2661242502127,1.2661242502127,7.41153187904092e-06,0.181472199016059,0.0473887140143792
0.06,2947.36842105263,21.2658107008476,1.2658107008476,-4.17020655587018e-05,0.181936322287199,0.0474004525003805
0.06,2954.88721804511,21.2651374460987,1.2651374460987,-8.95428816037301e-05,0.18240044555834,0.047425677095419
0.06,2962.40601503759,21.2641406494903,1.2641406494903,-0.0001325739489169,0.182864568829481,0.0474630730561444
0.06,2969.92481203008,21.2628872153572,1.2628872153572,-0.0001667067397022,0.183328692100622,0.0475101808541386
0.06,2977.44360902256,21.2613903459596,1.2613903459596,-0.0001990836298806,0.183792815371763,0.0475665603373198
0.06,2984.96240601504,21.2597078380639,1.2597078380639,-0.0002237735501282,0.184256938642904,0.0476300918252733
0.06,2992.48120300752,21.2579235381615,1.2579235381615,-0.0002373118870193,0.184721061914044,0.0476976526631278
0.06,3000.0,21.2560862208068,1.2560862208068,-0.000244363208175,0.185185185185185,0.0477674215401083
0.07,7.5187969924812,20.0002062844104,0.0002062844103996,2.74358265831474e-05,0.0003409885257361,339.337324931144
0.07,15.0375939849624,20.0007268061337,0.0007268061336986,6.92293891987781e-05,0.0006819770514722,96.3117903859352
0.07,22.5563909774436,20.0008355317077,0.0008355317077004,1.4460501342235e-05,0.0010229655772083,83.7789869072158
0.07,30.0751879699248,20.0005947057587,0.0005947057587007,-3.20298512169543e-05,0.0013639541029444,117.705266807779
0.07,37.593984962406,20.0004349326909,0.0004349326909007,-2.12498180174024e-05,0.0017049426286805,160.944443736856
0.07,45.1127819548872,20.0003206422322,0.0003206422322001,-1.52006310071791e-05,0.0020459311544166,218.311853431388
0.07,52.6315789473684,20.0004601559559,0.0004601559558992,1.85553252519703e-05,0.0023869196801527,152.12233831291
0.07,60.1503759398496,20.0007831252119,0.0007831252118997,4.29549110480672e-05,0.0027279082058888,89.3854506742199
0.07,67.6691729323308,20.0012956986544,0.001295698654399,6.81722678524111e-05,0.0030688967316249,54.0249075372132
0.07,75.187969924812,20.0019689674689,0.0019689674689011,8.95447523287843e-05,0.003409885257361,35.5516285086542
