Thickness,Fourier_Number,Temp_Diff,Insulation_Efficiency
0.01,3.35839598997493,3.704395805759,0.0026994955518666
0.01,3.375104427736,3.6495067980928,0.0027400962796468
0.01,3.39181286549707,3.5817150023701,0.0027919585989903
0.01,3.57560568086884,2.4009833916305,0.0041649600887947
0.01,3.59231411862991,2.3921284797138,0.0041803774691886
0.01,3.60902255639098,2.4030010259258,0.0041614630589461
0.01,3.62573099415204,2.4302267691504,0.0041148423377362
0.01,3.64243943191311,2.4719610190178,0.0040453712348479
0.01,3.65914786967418,2.5262510848142,0.0039584347177966
0.01,3.67585630743524,2.5905969101424,0.0038601142311446
0.01,3.69256474519633,2.6598670686674,0.0037595863785065
0.01,3.85964912280702,3.4909788359908,0.0028645261027948
0.01,3.87635756056809,3.5604161026465,0.0028086604800396
0.01,3.89306599832916,3.622197364489,0.0027607551421789
0.01,3.90977443609022,3.6761107024577,0.0027202662839599
0.01,3.92648287385129,3.7211196994002,0.0026873631615806
0.01,3.94319131161236,3.7561879381641,0.0026622736041497
0.01,3.95989974937344,3.7816330566399,0.002644360214284
0.01,3.97660818713451,3.7968827212178,0.0026337395000687
0.01,3.99331662489558,3.8005699817135,0.0026311842823879
0.01,4.01002506265664,3.7918911978045,0.0026372064698981
0.01,4.02673350041771,3.7700427291688,0.0026524898305873
0.01,4.04344193817878,3.7374233494872,0.0026756401576428
0.01,4.06015037593984,3.692420856997,0.0027082503287918
0.01,4.07685881370091,3.6342952547258,0.0027515651038524
0.01,4.26065162907269,2.4126029242272,0.0041449008867479
0.01,4.27736006683376,2.3856965024535,0.0041916480112687
0.01,4.29406850459482,2.3852729830684,0.0041923922632687
0.01,4.31077694235589,2.4048604854731,0.0041582453786431
0.01,4.32748538011696,2.4369055094117,0.0041035649356852
0.01,4.34419381787802,2.4822827089791,0.0040285499970761
0.01,4.36090225563909,2.5374113742148,0.0039410243453702
0.01,4.37761069340018,2.602780095219,0.0038420456719985
0.01,4.39431913116124,2.6762811730389,0.0037365281722791
0.01,4.56140350877193,3.5227118859259,0.0028387220765775
0.01,4.578111946533,3.5891448628251,0.0027861789875287
0.01,4.59482038429407,3.648692612761,0.002740707716793
0.01,4.61152882205513,3.7005781977997,0.0027022804182183
0.01,4.6282372598162,3.7432092261106,0.0026715044219931
0.01,4.64494569757727,3.7755891129541,0.0026485932925513
0.01,4.66165413533836,3.7973031189056,0.0026334479199759
0.01,4.67836257309942,3.809179998934,0.0026252369283673
0.01,4.69507101086049,3.8094803070427,0.0026250299762707
0.01,4.71177944862155,3.797501357772,0.0026333104475483
0.01,4.72848788638262,3.7725404656618,0.0026507336610492
0.01,4.74519632414369,3.7363959838022,0.0026763758561328
0.01,4.76190476190476,3.6877898936051,0.0027116512297353
0.01,4.77861319966582,3.6261450526387,0.0027577495811214
0.01,4.97911445279867,2.4195693536935,0.004132966878893
0.01,4.99582289055973,2.422865373491,0.0041273444696563
0.01,5.0125313283208,2.4463096899803,0.0040877898824333
0.01,5.02923976608187,2.4818868281354,0.0040291925830932
0.01,5.04594820384293,2.5289838099324,0.0039541573816035
0.01,5.062656641604,2.5845129456516,0.0038692009714344
0.01,5.07936507936509,2.649664490825,0.0037740627293104
0.01,5.09607351712616,2.7225655085265,0.0036730062026724
0.01,5.26315789473684,3.5561354289323,0.0028120413858935
0.01,5.27986633249791,3.6213687051846,0.0027613868716773
0.01,5.29657477025898,3.678632160464,0.002718401722106
0.01,5.31328320802004,3.7267586593079,0.0026832969113854
0.01,5.32999164578111,3.7667795117051,0.0026547877222241
0.01,5.34670008354218,3.7970287231259,0.0026336382285166
0.01,5.36340852130327,3.8164780712918,0.0026202168106825
0.01,5.38011695906433,3.8242585735912,0.0026148859465351
0.01,5.3968253968254,3.8209715905546,0.0026171353968503
0.01,5.41353383458647,3.8063149763317,0.0026272129506311
0.01,5.43024227234753,3.7791619172839,0.0026460893232082
0.01,5.4469507101086,3.7389445716109,0.0026745515501695
0.01,5.46365914786967,3.686018273607,0.0027129545373128
0.01,5.48036758563073,3.6214637906678,0.0027613143684521
0.01,5.66416040100251,2.4212225932936,0.0041301448399244
0.01,5.68086883876358,2.4079677772129,0.0041528794922557
0.01,5.69757727652464,2.4142939673938,0.0041419976751194
0.01,5.71428571428571,2.4351102447632,0.0041065902545913
0.01,5.73099415204678,2.4707073863869,0.0040474238491769
0.01,5.74770258980784,2.5191661210729,0.0039695675153574
0.01,5.76441102756893,2.5789536261256,0.0038775416117207
0.01,5.78111946533,2.6472258901272,0.0037775393619769
0.01,5.96491228070176,3.5582110403437,0.0028104010376613
0.01,5.98162071846282,3.6219999359074,0.0027609056258844
0.01,5.99832915622389,3.6777306133787,0.0027190681023842
